,0,1,2
0,-1.7728958,0.5988374,-4.975766
1,-2.2833397,3.9983,-0.42652684
2,-2.5931494,7.42729,0.084676735
3,-5.122226,12.348316,7.7725163
4,-12.690907,7.1970663,4.5389466
5,5.914227,20.609917,-7.550945
6,-4.1998262,-0.31731844,-3.3362176
7,-8.300225,7.0056286,1.3805858
8,-15.294922,6.2226934,-5.396979
9,-3.1735973,4.8262434,-1.3393642
10,-15.978251,9.201826,-14.676879
11,-4.3506045,0.58590794,-0.6750362
12,-4.157703,-1.3928993,-2.8350067
13,-0.39763233,4.5899353,0.943213
14,-16.332026,14.341669,9.852219
15,-4.4838057,0.8526231,1.3684844
16,-12.90497,8.013377,-9.647372
17,-1.4117749,8.434962,0.7649994
18,-3.5539713,2.6292276,-4.7307086
19,-9.324739,2.8728027,3.42338
20,-2.0504475,-2.7397254,-0.42934328
21,-1.9063748,-2.8969812,-1.0377841
22,-3.5757697,2.433421,-3.8070624
23,-4.59921,-0.63209367,0.9377186
24,-1.825361,0.36062503,-0.835515
25,-1.8572241,2.2367458,-7.0015264
26,-22.736584,38.445766,-29.400976
27,-5.6109614,9.780827,4.913341
28,-3.4904087,7.809425,0.44340718
29,-1.0762804,2.5713077,1.6658653
30,-1.2598369,14.331326,2.7713284
31,-5.6670475,2.7685814,1.0139374
32,0.020821828,14.5910015,-0.89700854
33,-1.2849547,1.661613,-1.4700667
34,2.3970706,32.346813,12.841023
35,-49.054756,12.795349,-6.0117803
36,-8.216251,3.4890132,4.0751214
37,0.39413884,4.671878,-1.6215743
38,6.7062855,40.673794,3.726966
39,3.6636522,26.692064,7.136736
40,-4.038283,15.3375435,7.2335744
41,-9.356964,4.307454,5.8739886
42,-35.41882,14.41781,1.4446031
43,-14.248303,12.18042,-11.315694
44,-8.685539,17.142117,-2.9248853
45,-2.4968636,0.7206096,2.3912535
46,-13.337085,11.395752,1.9718858
47,-2.3961568,-1.6271144,-1.6631083
48,-0.9993565,14.938736,1.8466555
49,-2.3415322,1.9322752,0.73040175
50,-4.7389383,4.3246555,-5.3019476
51,-8.783154,1.5307394,-0.35976344
52,-14.651877,7.4293637,-2.2539504
53,-7.628743,7.465714,1.0122147
54,-5.2564745,15.493004,-5.5258217
55,-12.181514,6.076338,-6.9547496
56,-19.242043,7.9777756,4.1049314
57,-3.1366107,0.090472765,2.1046102
58,2.8543527,25.91484,7.6846056
59,-5.4279304,17.898441,-7.4635663
60,-1.9873499,2.184367,-1.159044
61,-13.83916,6.221875,-3.16916
62,-4.2633524,-1.5694625,0.7990591
63,-5.1075416,-0.95354015,1.2832508
64,-1.5944378,-1.3269155,-2.2267175
