,0,1,2
0,-0.27596673,0.630526,0.3192087
1,-0.3280279,-0.071219,0.36411765
2,-0.43276128,-0.32775706,0.6164173
3,-0.36809343,-1.6270131,0.5468327
4,0.9349958,-1.1115651,0.15097961
5,-1.4268215,0.7193906,2.495865
6,0.15887232,0.34982926,0.14939639
7,0.52504635,-0.5611115,0.3997211
8,1.929233,0.5187953,0.7059215
9,-0.09424706,-0.008217232,0.47379473
10,1.3973211,1.9230394,1.8756244
11,0.17095335,-0.046933837,0.05171437
12,0.10777677,0.2706024,0.029625978
13,-0.80828553,-0.2711184,0.37447587
14,1.0310928,-1.9723608,0.29573923
15,0.086014464,-0.42695084,-0.018653868
16,1.2417785,1.2728059,1.2710844
17,-0.8210831,-0.386963,0.68575794
18,-0.0036448087,0.49223742,0.4758775
19,0.70561516,-0.81145906,-0.066520765
20,-0.33074874,-0.014222134,-0.2536616
21,-0.3677299,0.118874654,-0.24532251
22,0.03959237,0.3659689,0.38761628
23,0.10140883,-0.359648,-0.12509193
24,-0.24502681,0.057325725,0.06152731
25,-0.30616668,0.83959967,0.6115519
26,0.7419737,1.064201,3.3265214
27,-0.13782702,-1.0554268,0.49277
28,-0.31839243,-0.34169284,0.58159363
29,-0.57035536,-0.3538379,0.115208834
30,-1.1108145,-0.8059806,1.0476184
31,0.35961854,-0.35699263,0.13841252
32,-1.2007096,-0.25253907,1.3247073
33,-0.3663079,0.13099363,0.22950499
34,-1.2149677,-2.2677832,1.7700431
35,4.0784388,-0.52949744,1.202069
36,0.48150766,-0.9378632,-0.037154905
37,-0.8248364,0.1098046,0.5010241
38,-1.5145423,-1.088881,2.8581107
39,-1.7263023,-1.5171427,1.8952545
40,-0.6193752,-1.5782709,0.77333283
41,0.54120976,-1.2554747,-0.1095577
42,3.066887,-1.1998115,0.746965
43,1.2638413,1.1981813,1.7242539
44,0.23542635,-0.32269552,1.2703528
45,-0.24973583,-0.5074211,-0.0871507
46,0.989775,-0.84802854,0.58038944
47,-0.2585145,0.16723858,-0.070257224
48,-1.1695647,-0.7342246,1.1570944
49,-0.25755554,-0.23323269,0.13069297
50,0.19120781,0.5986004,0.6145416
51,1.0938236,-0.044653714,0.042129934
52,1.7737777,0.062259946,0.55890137
53,0.45614964,-0.50258243,0.46181723
54,-0.120970644,0.14066033,1.3921072
55,1.4073349,0.9402494,0.7987106
56,2.0247927,-1.059264,0.12020503
57,-0.1319283,-0.50780714,-0.12802146
58,-1.5691162,-1.7795333,1.724867
59,-0.23945618,0.26988214,1.7863022
60,-0.26386118,0.08815401,0.23602155
61,1.8168151,0.22526076,0.55781543
62,0.00070395134,-0.3146961,-0.18571961
63,0.12848388,-0.41990656,-0.16542196
64,-0.3526008,0.29457304,-0.010758944
65,-0.31378537,0.36424297,0.7383932
66,-0.5269823,-0.7050674,0.80846
67,0.25324112,-0.7766742,-0.17598805
68,-0.5509931,0.10011776,0.7891763
69,-0.28541318,-0.31545746,-0.07351947
70,-0.5292095,-0.22976469,0.24373588
71,0.47664973,0.10766827,0.00986652
72,0.29809633,-0.85608196,0.2824859
73,-1.4856195,-0.029978137,1.8468482
74,1.7180324,-1.0738076,0.63296795
75,-0.43020722,0.15661445,-0.11270028
76,0.86074084,0.1681005,0.09986316
77,-0.08105856,-0.7772904,-0.009629715
78,-0.42084914,-0.0020123408,-0.08843349
79,-0.6928028,-0.18398373,0.21935919
80,1.0213374,-1.9059924,0.24239093
81,0.71250755,-0.7146307,-0.113654345
82,-0.4329742,-0.0020743893,0.524405
83,-0.45195538,-0.055384852,0.264361
84,1.691919,-0.6576073,0.1284792
85,-0.79959816,-0.03276293,0.9042843
86,2.9111035,-0.273269,1.1220942
87,-0.7207173,0.62874264,1.0033343
88,-0.85158074,0.41616797,2.131717
89,-0.7965142,-0.62990355,0.44489548
90,-0.69951004,1.3425192,2.459745
91,0.040818594,-1.3535846,0.50070095
92,0.38063404,0.081512004,0.27519315
93,-0.8660381,0.19644554,0.7792561
