,0,1,2
0,-0.041294947,-0.4570169,0.6268408
1,-0.20033829,-0.12634975,0.04059577
2,-0.26679987,0.13287936,0.103822604
3,-0.680331,0.5148337,-0.7417059
4,0.05760313,0.16164921,-1.016041
5,-0.28654706,0.7609986,1.592502
6,0.13286923,-0.504157,0.18339765
7,0.118786074,0.11483716,-0.43156317
8,1.2687024,-0.060306348,-0.15316498
9,-0.04337662,-0.046264336,0.13533077
10,1.5718471,0.08772568,1.233684
11,0.016392993,-0.40788162,-0.18491013
12,0.06687371,-0.6166058,0.114495456
13,-0.5406796,-0.118277155,0.046709385
14,-0.2247109,0.652872,-1.4466947
15,-0.18508467,-0.4189752,-0.41610008
16,1.1902837,0.06914752,0.70000046
17,-0.45832133,0.16206391,0.09282669
18,0.16795833,-0.2516479,0.44321075
19,-0.049024526,-0.26296136,-0.8947115
20,-0.36547172,-0.843414,-0.062282775
21,-0.35995492,-0.8633401,0.04906701
22,0.13584791,-0.27162993,0.3483723
23,-0.13900262,-0.51539516,-0.43591312
24,-0.2352155,-0.45142668,0.043485913
25,0.03141953,-0.36149293,0.77658623
26,1.7112718,1.2367514,2.7754984
27,-0.35588518,0.30188772,-0.51922953
28,-0.18504459,0.15782839,0.004716309
29,-0.5512302,-0.27340472,-0.16293153
30,-0.69211155,0.60292625,0.102218516
31,-0.031882465,-0.21550061,-0.40176398
32,-0.5073253,0.52641255,0.5043732
33,-0.21747033,-0.3686032,0.21818097
34,-0.8753376,1.9101586,-0.41112942
35,2.663651,1.2229769,-2.3027384
36,-0.18610336,-0.18057954,-0.8587654
37,-0.46381673,-0.13516647,0.4114673
38,-0.5960423,2.2510269,0.98076594
39,-0.97261715,1.4932367,0.27551073
40,-0.76839966,0.6977574,-0.5451394
41,-0.30437765,-0.13457601,-1.0929705
42,1.4294083,0.8604712,-1.9920002
43,1.1687992,0.3473373,0.826001
44,0.25686252,0.65083206,0.24509104
45,-0.5181775,-0.46269572,-0.4067219
46,0.2590653,0.43640345,-0.6823165
47,-0.20198146,-0.65108055,0.122948855
48,-0.6490448,0.5970322,0.21483137
49,-0.31318927,-0.3167467,-0.16439036
50,0.2719388,-0.13154134,0.46228498
51,0.44297516,-0.39850935,-0.5313116
52,1.0070653,0.05539242,-0.4608741
53,0.1276037,0.15836364,-0.3252856
54,0.1969778,0.539875,0.6641236
55,1.1088058,-0.14099595,0.30971074
56,0.5474993,0.12952489,-1.4404851
57,-0.3920263,-0.4975067,-0.45113546
58,-0.9242169,1.42251,0.113398
59,0.28378165,0.6058959,0.8881137
60,-0.14238375,-0.26596564,0.1202336
61,1.0250918,-0.06895016,-0.40125445
62,-0.22138235,-0.6534901,-0.3974362
63,-0.17338918,-0.5689055,-0.5460217
64,-0.25069618,-0.65121186,0.2631537
65,-0.001252871,-0.030368896,0.5395604
66,-0.37622073,0.4128994,-0.07231301
67,-0.2935794,-0.4224322,-0.77157944
68,-0.13634147,0.11695618,0.43235973
69,-0.3975728,-0.50751823,-0.26626238
70,-0.4250588,-0.17934485,-0.02648524
71,0.19187069,-0.5437078,-0.12768526
72,-0.13581513,0.1513935,-0.60133183
73,-0.55117285,0.7263832,0.8875634
74,0.5170861,0.58838236,-1.0695341
75,-0.3588421,-0.67449147,0.12035312
76,0.50284886,-0.4169514,-0.21053559
77,-0.4076223,-0.25099573,-0.5716611
78,-0.39711627,-0.6094714,-0.0032517803
79,-0.55257046,-0.24402606,0.017877897
80,-0.22902587,0.46560046,-1.4006879
81,0.055379964,-0.3737768,-0.9040672
82,-0.20541154,-0.027438274,0.24587014
83,-0.32461476,-0.22313523,0.082301944
84,0.590878,-0.077653155,-1.0903497
85,-0.3087763,0.16281313,0.46956825
86,1.6241362,0.8160784,-1.0188686
87,-0.17540196,-0.04178489,0.86334914
88,-0.012531683,0.7866252,1.1518865
89,-0.6407922,0.024868146,-0.13467449
90,0.20119898,0.5624902,1.8036963
91,-0.39373153,0.4405203,-0.7131796
92,0.2148802,-0.23129705,-0.057391375
93,-0.34185797,0.023349334,0.50838584
94,1.0258067,-0.04038745,0.6924231
95,-0.25372812,-0.5615747,-0.6280267
96,-0.36085638,-0.698661,-0.1858262
97,1.8104057,0.47275323,-0.6323472
98,1.3744777,0.5917787,1.0656904
99,-0.045797035,0.10326675,-0.46527487
100,0.5509391,-0.37053,-0.43181974
101,-0.3236242,-0.6892013,-0.16990675
102,-0.3495178,1.4773633,-1.9416512
103,-0.98972607,1.4559903,0.35486013
104,0.18613447,0.57867944,-0.81739175
105,0.9284247,-0.2049172,0.24335934
106,0.41174012,-0.28673634,0.79397374
107,-0.3156468,0.5970439,0.61492205
108,1.5083983,0.1412629,0.021414544
109,0.560278,0.05307957,0.88828653
110,0.18505313,0.7413734,-1.7590976
111,-0.37135446,-0.0055190744,-0.12980956
112,1.3509305,0.42371407,0.23209468
113,0.69976413,0.46995887,1.8767686
114,-0.30534697,-0.14453736,-0.31969303
115,-0.64646804,-0.07431492,-0.12554877
116,0.3852577,0.5086746,-1.661205
117,-0.24972437,-0.2425631,-0.8386797
118,-0.08775749,-0.69408697,-0.00089991046
119,0.030859293,-0.41695732,0.3407327
120,0.1897464,-0.4405969,-0.5398615
121,-0.37235862,-0.8674813,-0.11772231
122,-0.17966665,0.7609351,1.0563543
123,-0.39254498,-0.0963187,0.044823296
124,-0.39195812,-0.51864636,-0.294821
125,-0.2936586,-0.41461748,0.20889343
126,0.107685156,-0.41021788,-0.65115374
127,-0.28241658,-0.29183555,-0.39803386
