,0,1,2
0,4.110638,-2.1373384,-2.3740568
1,1.1162977,-3.4061904,-0.8418346
2,-0.27797154,-4.220165,-2.0624073
3,-6.415867,-9.325249,0.9490065
4,-1.5513086,-12.475219,3.4843032
5,-1.3797193,-8.625465,-22.607512
6,4.0985713,-3.5628614,-0.24333526
7,0.12109253,-8.252999,0.50642437
8,7.6835494,-19.096264,-3.7691143
9,1.4850836,-4.0730224,-1.5251682
10,14.159531,-22.356411,-19.65401
11,2.6242533,-4.1058087,1.2546597
12,4.0000305,-3.1663177,0.6552621
13,-0.3246936,-2.4385743,-0.8576997
14,-6.398238,-18.389013,4.860428
15,1.2817624,-4.486748,2.4960315
16,9.138462,-15.535622,-10.599852
17,-1.418098,-3.6630108,-2.444777
18,3.8819437,-3.7321012,-2.7954628
19,0.1753616,-8.726589,3.9172573
20,2.9499798,-1.6111035,2.42958
21,3.3158143,-1.3922553,2.0730689
22,3.539006,-3.7262459,-2.0049996
23,1.8223029,-4.1077857,2.8829563
24,2.4281902,-2.3638093,0.6761994
25,4.5977077,-2.7482145,-4.6232224
26,14.586636,-39.265026,-50.08789
27,-3.266461,-7.671019,0.40926903
28,-0.35576835,-4.929093,-1.7809172
29,0.17329761,-2.5765936,0.8821994
30,-5.6526732,-6.0808167,-4.83096
31,1.325458,-5.712335,1.6586298
32,-3.788382,-5.460235,-8.145312
33,2.3552408,-2.3073938,-0.53990066
34,-21.896416,-21.30564,-11.097385
35,6.2531614,-87.265305,-4.6149707
36,-0.534415,-7.9704804,3.6947007
37,0.91054434,-1.8599436,-2.5699303
38,-19.667614,-23.691668,-30.911482
39,-16.06196,-13.408791,-13.421274
40,-7.6757035,-9.54646,-1.2540739
41,-1.7479758,-9.386923,4.7234607
42,-0.3645554,-49.891655,3.1267326
43,8.871992,-18.368206,-14.615479
44,-0.52056265,-10.723271,-7.2971854
45,0.6182523,-3.3101227,2.7769392
46,-1.049808,-13.176147,0.20794173
47,3.3340797,-2.0706136,1.1960068
48,-5.5627456,-6.1348796,-5.885164
49,1.1848456,-3.1520526,0.97016984
50,3.9918723,-5.1158195,-3.6506069
51,3.4611,-8.841915,2.1144238
52,4.7757998,-17.678652,-0.9086438
53,0.10228607,-7.697265,-0.17651479
54,0.6537578,-8.816366,-9.492003
55,8.23744,-14.431759,-6.0867853
56,-0.20143607,-21.663591,5.07391
57,0.9856132,-3.5811126,3.0087311
58,-16.001875,-13.418919,-11.456001
59,1.0333241,-10.385811,-12.949893
60,2.113837,-2.8685243,-0.4434844
61,5.879843,-16.95715,-1.3537874
62,2.0831926,-3.6004426,3.1290832
63,1.7525005,-4.4563437,3.3693135
64,3.4542298,-1.651087,0.46555462
65,2.3356411,-3.950413,-4.3247147
66,-2.8148153,-6.090327,-2.8253734
